QKEY,INTERVIEW_START_W152,INTERVIEW_END_W152,DEVICE_TYPE_W152,SVYMODE_W152,LANG_W152,FORM_W152,AI_HEARD_W152,CNCEXC_W152,USEAI_W152,AICONTROL1_W152,AICONTROL2_W152,AICHANGE_W152,AIFUTRIMPCT_a_W152,AIFUTRIMPCT_b_W152,AIFUTRIMPCT_c_W152,AIFUTRIMPCT_d_W152,AIFUTRIMPCT_e_W152,AIFUTRIMPCT_f_W152,AIFUTRIMPCT_g_W152,AIFUTRIMPCT_h_W152,AIFUTRIMPCT_i_W152,AIFUTRIMPCT_j_W152,AIJOBS_W152,AIJOBIMPCT_a_W152,AIJOBIMPCT_b_W152,AIJOBIMPCT_c_W152,AIJOBIMPCT_d_W152,AIJOBIMPCT_e_W152,AIJOBIMPCT_f_W152,AIJOBIMPCT_g_W152,AIJOBIMPCT_h_W152,AIJOBIMPCT_i_W152,AIJOBIMPCT_j_W152,HUMANVAI_a_W152,HUMANVAI_b_W152,HUMANVAI_c_W152,HUMANVAI_d_W152,HUMANVAI_e_W152,HUMANVAI_f_W152,HUMANVAI_g_W152,HUMANVAI_h_W152,PERSBENHRM_W152,TRSTAIPRS_W152,AICONCERN_a_W152,AICONCERN_b_W152,AICONCERN_c_W152,AICONCERN_d_W152,AICONCERN_e_W152,AICONCERN_f_W152,AICONCERN_g_W152,FUTRAI_a_W152,FUTRAI_b_W152,FUTRAI_c_W152,FUTRAI_d_W152,DISCRIM1_a_W152,DISCRIM1_b_W152,DISCRIM1_c_W152,DISCRIM1_d_W152,DISCRIM1_e_W152,DISCRIM1_f_W152,AIREG_W152,REGCONFG_W152,REGCONFI_W152,CHATAWARE_W152,CHATUSE_W152,CHATHELPFUL_W152,DRIVE1_W152,DRIVE2_a_W152,DRIVE2_b_W152,DRIVE2_c_W152,DRIVE2_d_W152,DRIVE2_e_W152,DRIVE2_f_W152,DRIVE3_W152,DRIVER_W152,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W152
116591,17-Aug-2024 15:01:18,17-Aug-2024 15:12:04,3,1,9,1,2,1,5,4,3,3,3,6,2,2,6,,,,,,2,3,4,2,2,4,,,,,,1,1,1,1,4,4,4,1,3,3,3,3,1,3,2,3,2,2,3,2,3,5,5,5,5,5,5,3,5,5,3,,,3,1,1,1,1,2,1,3,4,1,3,5,1,4,2,3,2,2,,1,1,1,1,1,12,,3,6,1,,1,2,1,2,3,2,2,1,0.8979118672991521
118110,13-Aug-2024 16:02:38,13-Aug-2024 16:12:51,3,1,9,2,3,2,5,5,3,6,,,,,,4,5,4,4,5,2,,,,,,2,2,2,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,6,1,6,6,5,5,5,5,5,5,2,6,6,3,,,3,2,1,1,1,1,1,5,1,1,2,3,1,3,2,3,2,2,,1,1,1,1,1,2,2,2,5,2,,2,3,1,99,2,5,2,99,1.3928842384643216
118218,14-Aug-2024 03:47:10,14-Aug-2024 04:00:55,1,1,9,2,1,3,2,5,2,3,,,,,,2,3,3,6,3,2,,,,,,2,2,3,2,3,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,1,2,2,2,4,5,5,3,3,3,2,2,2,3,3,2,2,,4,1,1,1,1,1,1,3,3,2,3,7,3,4,2,2,4,2,,1,1,1,1,1,1,1,1,4,3,2,2,3,1,3,1,2,1,2,0.8409049167836217
126211,13-Aug-2024 23:09:59,13-Aug-2024 23:23:38,1,1,9,2,2,2,2,4,1,99,,,,,,6,4,2,3,4,2,,,,,,2,2,3,2,99,1,2,2,2,2,1,3,2,2,2,4,2,2,3,2,2,2,1,2,2,4,5,5,5,5,5,5,2,4,4,2,2,,3,2,1,1,2,1,2,3,1,1,3,5,2,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,4,2,1,1.1348298903924918
127160,15-Aug-2024 11:07:12,15-Aug-2024 11:07:39,1,1,9,2,2,2,5,4,2,5,,,,,,5,5,3,6,5,2,,,,,,3,2,3,3,2,2,2,2,2,3,2,3,2,1,2,1,1,1,1,1,5,1,4,1,5,5,3,4,4,3,4,4,2,5,5,2,2,,2,2,3,2,3,2,3,4,3,1,3,6,2,2,2,1,6,2,,1,5,4,1,1,12,,3,2,4,1,1,1,3,5,1,2,2,2,1.391447451357338
127284,13-Aug-2024 15:12:27,13-Aug-2024 15:23:47,1,1,9,1,2,2,2,5,2,6,1,6,5,2,2,,,,,,2,1,2,2,2,3,,,,,,1,1,1,1,4,1,1,3,2,3,2,1,3,2,2,1,1,1,1,2,4,4,4,4,4,5,5,2,6,5,2,2,,5,1,1,1,2,1,1,3,2,1,4,9,2,3,2,2,3,2,,1,1,1,1,1,2,2,2,6,3,2,2,3,1,6,3,2,2,2,1.2587555675944453
133700,13-Aug-2024 15:24:40,13-Aug-2024 15:34:36,1,1,9,1,2,2,5,5,2,5,6,6,6,6,6,,,,,,2,4,4,4,4,4,,,,,,4,4,4,4,4,4,4,4,1,2,2,1,2,1,1,3,2,5,3,3,4,5,5,5,5,5,5,2,4,4,3,,,3,1,1,2,2,1,1,3,5,1,1,2,2,4,2,3,2,2,,1,1,1,1,1,2,2,2,2,3,1,1,2,1,2,3,3,2,1,1.3215759016072612
144736,13-Aug-2024 15:00:59,13-Aug-2024 15:06:17,1,1,9,2,1,2,2,4,2,4,,,,,,4,4,4,6,4,2,,,,,,3,2,2,3,3,4,2,2,2,2,2,3,2,1,2,3,2,2,2,1,1,2,3,3,3,4,2,3,3,3,3,3,2,4,4,1,1,3,4,1,2,2,2,1,1,3,1,1,1,1,2,3,2,1,6,2,,1,1,1,1,1,10,,3,6,2,,2,4,1,9,4,2,2,3,1.1877856554114932
145364,13-Aug-2024 14:23:06,13-Aug-2024 14:28:57,3,1,9,2,1,3,2,4,2,3,,,,,,4,4,4,6,6,2,,,,,,2,2,3,3,2,1,3,3,3,1,2,3,1,2,3,3,3,3,3,5,4,3,4,4,3,3,2,2,2,2,2,2,1,4,2,2,2,,6,2,2,2,2,2,2,4,1,1,1,2,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,3,1,,1,1,1,9,2,2,2,3,1.066749988330189
145447,13-Aug-2024 14:37:17,13-Aug-2024 14:45:18,3,1,9,1,1,3,4,5,2,3,2,3,4,6,6,,,,,,2,3,1,2,2,3,,,,,,2,2,2,2,2,2,2,2,3,2,1,2,1,2,1,1,4,3,3,3,5,2,3,3,2,2,3,2,5,5,2,1,3,3,2,2,2,2,1,2,3,1,1,3,6,1,4,2,1,6,2,,1,1,1,1,1,1,1,1,4,3,2,2,3,1,9,3,2,2,3,1.014227571495914
145887,13-Aug-2024 14:04:27,13-Aug-2024 14:12:21,3,1,9,1,2,3,4,4,3,3,1,3,5,6,6,,,,,,4,2,4,4,4,4,,,,,,4,4,4,2,4,2,2,4,3,3,1,1,1,1,1,1,99,1,2,4,5,5,5,5,5,5,5,3,6,6,2,2,,5,1,1,1,1,1,2,3,1,1,4,9,2,4,2,1,5,2,,1,1,1,1,6,2,2,2,5,1,,1,1,1,99,2,3,2,99,1.370918263327713
146434,13-Aug-2024 14:46:09,13-Aug-2024 14:54:12,3,1,9,1,2,2,5,5,2,3,6,6,5,6,6,,,,,,2,3,2,3,2,3,,,,,,4,2,4,4,4,4,2,4,3,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,2,4,4,3,,,4,1,1,2,3,1,2,2,2,2,3,7,3,4,2,3,1,2,,1,1,1,1,1,12,,3,5,1,,1,1,1,99,2,2,2,99,0.8704902944958017
149866,15-Aug-2024 08:15:48,15-Aug-2024 08:26:12,1,1,9,2,2,2,5,4,3,6,,,,,,4,6,4,6,6,2,,,,,,2,4,4,4,4,2,2,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,6,3,5,4,3,3,3,3,3,3,2,4,4,2,2,,4,1,2,1,1,1,2,4,2,2,1,1,3,4,2,3,2,2,,1,1,1,1,2,2,99,2,6,1,,1,1,1,2,2,2,2,1,0.9403570023751907
152957,13-Aug-2024 20:00:30,13-Aug-2024 20:16:24,3,2,9,2,2,3,5,3,1,6,,,,,,6,6,6,6,6,3,,,,,,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,1,2,4,4,3,1,4,6,6,6,6,2,5,5,5,5,5,3,1,1,3,,,5,1,1,1,1,1,1,4,4,2,3,6,99,4,2,3,1,2,,1,1,1,1,1,2,1,2,4,2,,2,3,1,1,3,2,2,1,0.8852616852286557
154578,15-Aug-2024 12:00:58,15-Aug-2024 12:07:43,1,1,9,2,2,2,5,1,2,4,,,,,,6,5,6,5,5,2,,,,,,2,4,4,4,2,2,2,2,4,2,2,2,2,1,3,1,1,1,1,1,1,1,6,3,5,5,4,4,4,4,4,4,2,5,5,3,,,4,1,2,3,3,1,3,2,2,1,4,9,2,4,2,3,2,1,1,1,1,3,1,5,1,2,1,5,1,,1,1,1,1,2,2,2,1,0.9914532155185691
156660,13-Aug-2024 14:18:31,13-Aug-2024 14:22:56,3,1,9,1,2,2,2,5,3,2,2,2,6,2,6,,,,,,4,2,1,2,2,1,,,,,,1,1,3,1,1,4,3,1,2,2,1,1,1,1,1,1,1,1,3,4,3,2,3,2,1,3,3,2,3,3,2,2,,3,2,2,2,2,1,2,4,1,1,4,9,1,3,1,1,6,2,,1,1,1,1,6,1,2,1,6,2,,2,4,1,6,4,1,2,2,1.1556717191600134
159075,14-Aug-2024 20:03:53,14-Aug-2024 20:11:47,3,1,9,2,1,2,2,5,2,4,,,,,,4,3,5,3,4,2,,,,,,2,2,2,2,3,1,2,2,2,3,2,3,2,2,1,3,1,2,2,1,3,1,1,2,5,3,2,3,3,1,2,3,2,5,5,1,2,,4,2,1,2,2,1,2,2,2,2,4,9,3,4,1,2,3,2,,1,4,4,1,1,12,,3,5,2,,2,4,3,1,4,1,2,1,0.46501990635908963
161820,16-Aug-2024 20:22:24,16-Aug-2024 21:22:50,1,1,9,1,3,2,5,5,2,6,6,6,6,6,6,,,,,,4,4,4,4,4,4,,,,,,3,3,3,3,3,3,3,3,3,2,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,4,1,6,6,3,,,6,1,2,3,1,1,1,5,6,1,3,6,3,3,2,1,5,2,,4,1,1,4,3,2,2,2,6,1,,1,2,3,3,3,1,2,2,1.175752427694739
162119,16-Aug-2024 12:38:55,16-Aug-2024 12:46:17,1,1,9,1,2,2,2,4,2,5,5,5,5,4,5,,,,,,2,1,2,2,2,2,,,,,,2,2,2,2,2,2,2,3,1,2,1,1,1,1,2,1,2,3,1,5,4,2,3,3,2,2,3,2,4,4,2,2,,3,2,2,2,1,2,2,4,2,1,2,3,1,4,2,1,5,2,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,0.6625480061750465
164425,13-Aug-2024 17:50:19,13-Aug-2024 18:03:31,1,1,9,2,2,2,5,4,3,3,,,,,,3,3,3,4,4,2,,,,,,1,2,4,4,4,1,1,1,3,2,4,3,4,1,99,2,1,1,1,3,3,3,2,3,4,4,1,4,3,5,2,3,2,2,4,2,2,,5,1,2,1,2,1,2,3,1,2,2,3,3,4,1,3,1,2,,1,1,1,1,5,1,2,1,5,2,,2,4,1,2,5,4,2,2,1.2594394270962788
175192,13-Aug-2024 22:15:26,13-Aug-2024 22:26:42,1,1,9,1,2,2,5,4,2,5,5,5,5,5,4,,,,,,2,2,3,2,2,2,,,,,,2,3,2,3,3,3,3,2,1,2,1,1,1,1,1,1,1,4,1,4,5,2,2,2,2,2,2,2,5,5,2,2,,4,1,2,2,2,1,2,4,1,1,3,7,3,3,1,2,4,2,,1,1,1,1,1,1,99,1,1,1,,1,1,1,5,1,2,2,2,1.0417570283811508
175363,13-Aug-2024 14:39:21,13-Aug-2024 14:49:08,1,1,9,2,1,2,4,4,2,3,,,,,,3,6,3,6,4,2,,,,,,2,2,2,2,1,1,2,2,4,2,2,1,1,3,2,2,2,1,2,2,3,3,2,4,4,5,1,1,1,1,5,5,2,5,5,3,,,1,2,2,1,2,1,1,2,1,2,1,2,3,3,1,1,5,2,,1,4,4,1,1,1,1,1,5,4,1,1,1,1,9,2,2,2,3,0.924362052985487
176680,13-Aug-2024 14:37:20,13-Aug-2024 14:44:26,3,1,9,1,2,2,5,4,2,4,4,6,4,6,3,,,,,,2,3,2,2,2,4,,,,,,2,4,2,2,2,4,4,3,1,2,2,1,2,2,2,2,2,2,1,4,4,5,5,5,5,5,5,2,4,4,2,1,4,5,1,1,1,1,1,1,3,1,1,2,3,2,3,2,2,3,2,,1,1,1,1,1,1,1,1,6,1,,1,1,1,3,1,1,2,2,0.9298612461544095
176940,14-Aug-2024 05:03:27,14-Aug-2024 05:14:12,3,1,9,2,2,3,3,1,1,6,,,,,,2,6,2,2,6,2,,,,,,2,4,4,4,1,4,4,4,3,4,4,4,1,2,2,3,1,1,2,3,2,3,3,3,4,6,5,5,5,5,5,5,2,3,2,1,1,3,4,1,1,3,3,1,3,4,2,1,3,5,3,4,2,3,2,2,,1,1,1,1,1,12,,3,6,4,2,2,3,1,9,3,2,2,2,0.8959859434896135
178470,14-Aug-2024 18:02:42,14-Aug-2024 18:16:54,3,1,9,2,3,2,5,4,3,6,,,,,,6,6,6,6,6,4,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,2,1,4,3,4,4,1,4,3,2,2,4,2,3,3,2,1,3,5,2,1,2,1,1,2,4,3,1,3,6,3,3,2,2,4,2,,1,2,2,1,5,1,1,1,5,2,,2,4,1,1,5,2,2,1,1.0470527778346463
179979,13-Aug-2024 18:51:01,13-Aug-2024 19:02:13,1,1,9,2,2,3,4,4,2,3,,,,,,3,3,3,5,4,2,,,,,,2,2,3,3,1,3,2,2,2,2,2,2,3,3,2,2,1,2,3,2,1,2,3,3,5,4,4,4,4,4,3,4,3,3,3,3,,,3,1,1,2,2,1,2,3,6,2,2,4,2,4,2,3,2,2,,1,1,1,1,5,1,2,1,5,1,,1,1,3,1,1,1,2,1,0.6650393264207134
185944,13-Aug-2024 16:13:10,13-Aug-2024 16:28:03,1,1,9,2,3,3,5,5,3,6,,,,,,6,6,6,6,6,4,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,4,2,2,2,6,6,6,6,5,5,5,5,5,5,3,6,6,3,,,5,1,1,1,1,1,1,3,1,1,3,5,1,4,2,3,2,2,,4,4,4,4,4,6,,4,3,2,,2,4,1,3,5,1,2,1,0.47850617502522375
186444,15-Aug-2024 12:13:48,15-Aug-2024 12:16:56,1,1,9,1,2,2,4,5,2,5,6,6,5,5,6,,,,,,2,4,1,2,2,4,,,,,,4,2,2,4,2,4,2,2,3,2,1,1,1,1,1,1,1,2,2,6,4,5,5,5,5,5,5,2,5,5,2,2,,3,1,1,1,3,1,2,2,2,1,3,5,2,3,2,2,3,2,,1,1,1,1,3,2,2,2,6,3,1,1,1,1,1,2,2,2,1,1.1983286408792815
186980,13-Aug-2024 19:28:13,13-Aug-2024 19:40:50,3,1,9,2,99,3,5,3,3,6,,,,,,6,6,6,6,4,4,,,,,,2,2,2,4,4,2,2,1,4,1,1,2,1,3,3,2,2,2,4,4,2,2,1,2,3,4,5,5,5,5,5,5,2,4,4,2,2,,3,1,1,1,1,1,1,3,4,1,4,9,3,3,2,1,5,2,,1,1,1,1,6,1,2,1,5,1,,1,2,1,1,3,99,1,1,0.9510372625612529
188109,13-Aug-2024 16:38:26,13-Aug-2024 16:47:00,3,1,9,1,2,2,5,4,2,5,2,5,5,5,5,,,,,,2,2,2,2,2,2,,,,,,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,4,4,2,4,3,3,2,4,2,5,5,2,2,,5,1,1,2,1,1,1,1,1,1,2,3,2,4,1,1,5,2,,1,2,2,1,1,1,2,1,4,2,,2,4,1,9,5,2,2,2,0.23521337861773373
191336,13-Aug-2024 17:17:23,13-Aug-2024 17:25:53,3,1,9,2,2,3,3,4,3,6,,,,,,6,6,4,4,6,2,,,,,,4,99,3,4,4,4,4,2,4,4,4,2,2,3,2,2,1,1,1,1,1,1,6,6,4,6,5,5,5,5,5,5,3,6,6,2,1,3,4,1,1,1,2,1,1,3,1,1,1,2,1,3,1,3,2,2,,1,1,1,1,3,2,2,2,2,2,,2,4,1,3,4,3,2,2,1.9201041378267458
192568,16-Aug-2024 11:24:58,16-Aug-2024 11:39:02,1,1,9,2,1,2,5,4,2,3,,,,,,5,5,3,4,5,2,,,,,,3,3,4,2,4,4,2,2,2,2,2,4,3,3,2,2,2,1,2,2,2,2,1,2,3,5,5,5,5,5,5,5,3,5,4,2,2,,4,2,2,2,2,1,2,4,1,1,3,6,3,4,1,1,5,2,,1,1,1,1,1,1,2,1,2,3,1,1,1,1,6,2,2,1,2,0.7224914986501682
194477,14-Aug-2024 00:19:14,14-Aug-2024 00:31:11,1,1,9,2,1,2,1,3,2,4,,,,,,6,5,5,3,5,2,,,,,,2,4,2,2,3,1,3,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,3,5,4,2,2,2,2,2,2,2,4,4,3,,,5,99,1,1,1,1,1,1,1,1,4,9,2,3,2,3,2,1,1,4,1,3,4,1,2,2,2,4,2,,2,3,1,3,3,2,2,1,2.7767376176920986
196610,13-Aug-2024 15:58:17,13-Aug-2024 16:02:46,1,1,9,2,1,3,3,3,2,3,,,,,,6,4,3,6,3,2,,,,,,2,2,3,3,3,2,1,2,1,1,2,2,2,2,2,3,2,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,1,1,3,3,2,2,2,2,1,1,3,5,1,1,2,1,3,2,1,6,2,,4,3,5,4,1,8,,4,5,2,,2,3,1,9,3,1,1,3,0.19798025374415693
198176,14-Aug-2024 07:47:14,14-Aug-2024 07:59:16,1,1,9,2,1,3,2,3,3,3,,,,,,3,6,2,2,3,2,,,,,,3,2,3,2,3,3,3,2,2,2,2,3,3,2,2,3,1,1,2,3,2,4,3,4,3,3,5,5,5,5,5,5,3,3,3,2,1,2,3,1,1,2,2,1,2,4,2,1,1,2,2,4,2,2,4,2,,1,1,1,1,5,2,2,2,5,2,,2,4,1,5,5,2,2,2,0.9497791623592071
198205,12-Aug-2024 19:41:05,12-Aug-2024 19:50:04,1,1,9,2,2,2,2,4,2,4,,,,,,3,3,3,3,4,2,,,,,,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,4,3,3,3,3,3,3,3,5,4,2,2,,5,2,1,2,2,1,1,3,1,1,2,3,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,4,2,2,1,2,0.6908860960421646
201095,13-Aug-2024 17:25:48,13-Aug-2024 17:30:23,1,1,9,1,2,3,5,5,3,6,6,6,6,6,6,,,,,,2,2,3,2,2,2,,,,,,1,2,4,2,1,1,4,2,3,3,3,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,2,4,4,3,,,4,1,2,2,2,1,1,5,4,1,4,9,2,4,1,1,5,1,8,4,1,3,4,6,10,,3,5,3,1,1,2,1,9,3,1,2,3,0.3348212980116096
204164,18-Aug-2024 05:58:05,18-Aug-2024 06:07:15,1,1,9,2,2,2,3,4,2,3,,,,,,2,3,3,3,3,4,,,,,,2,2,2,2,2,1,3,2,2,2,2,3,2,1,2,1,1,1,1,2,3,1,2,2,4,4,3,3,3,3,2,3,2,4,5,3,,,4,1,1,1,1,1,1,3,1,1,1,2,2,4,1,2,3,1,1,4,1,3,4,1,12,,3,5,2,,2,3,1,7,3,2,2,2,0.32039898416082585
204329,14-Aug-2024 19:22:35,14-Aug-2024 19:51:33,3,2,9,1,2,2,5,4,3,4,5,6,3,6,6,,,,,,2,1,4,4,2,1,,,,,,4,3,2,2,4,2,4,2,3,2,2,3,3,3,2,2,2,3,6,3,3,3,3,3,3,4,4,2,5,5,3,,,6,1,2,1,99,1,1,3,6,1,3,7,1,4,2,1,6,2,,1,1,1,1,5,99,,99,6,2,,2,4,1,5,4,6,2,2,1.6095078516824617
